gene	cn_lower_ex	cn_upper_ex	cn_lower	cn_upper	cn_lower_diff	cn_upper_diff	chromosome	start	end
GSTM1	True	False	2.0442/0.0	2.0442/2.0226	2.0442	0.02159999999999984	chr1	109687820	109693745
MTX1	True	False	3.007/0.0571	3.007/2.9844	2.9499	0.022600000000000176	chr1	155208699	155213823
GBAP1	True	False	3.007/0.0571	3.007/2.9844	2.9499	0.022600000000000176	chr1	155213821	155218924
SSR2	True	False	0.4245/2.9844	3.007/2.9844	2.5599	0.022600000000000176	chr1	156009048	156020959
SELL	True	False	2.1305/1.7894	3.0688/3.0441	0.34109999999999996	0.024700000000000166	chr1	169690667	169711698
DHX30	True	False	1.0712/-0.1093	1.0712/1.0556	1.1804999999999999	0.015599999999999836	chr3	47802928	47850193
ZNF595	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	53285	88211
ZNF718	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	124480	163989
ZNF876P	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	212610	255985
ZNF732	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	270675	305321
ZNF141	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	337835	375258
MIR571	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	350157	350252
ABCA11P	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	425773	427882
ZNF721	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	441695	499156
PIGG	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	499230	539529
PDE6B	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	625606	670753
AC107464.1	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	653059	656213
ATP5I	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	672436	674338
MYL5	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	677922	682033
MFSD7	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	681831	689143
PCGF3	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	705765	770640
AC139887.2	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	780149	781849
CPLX1	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	784957	826198
GAK	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	849278	932298
TMEM175	True	True	2.2362/2.0196	2.2362/2.0196	0.21660000000000013	0.21660000000000013	chr4	932387	958656
